hdr;country;code;perc;anno
17;Israel;ISR;53.5;2000
18;Luxembourg;LUX;41.4;2000
19;France;FRA;48.4;2000
20;Belgium;BEL;43.6;2000
21;Finland;FIN;56.6;2000
22;Austria;AUT;48.5;2000
23;Slovenia;SVN;51.2;2000
24;Italy;ITA;35.5;2000
25;Spain;ESP;40.9;2000
26;Czech Republic;CZE;51.8;2000
27;Greece;GRC;40.3;2000
28;Estonia;EST;51.9;2000
29;Cyprus;CYP;49.6;2000
30;Malta;MLT;30.2;2000
31;Qatar;QAT;38.7;2000
32;Poland;POL;49.1;2000
33;Lithuania;LTU;54.8;2000
34;Chile;CHL;35.4;2000
35;Saudi Arabia;SAU;16.1;2000
36;Slovak Republic;SVK;52.6;2000
37;Portugal;PRT;52.8;2000
38;United Arab Emirates;ARE;33.8;2000
39;Hungary;HUN;41.4;2000
40;Latvia;LVA;48.9;2000
41;Argentina;ARG;42.6;2000
42;Croatia;HRV;45.2;2000
43;Bahrain;BHR;34.9;2000
44;Montenegro;MNE;43.3;2000
45;Russian Federation;RUS;54.1;2000
46;Romania;ROU;57.9;2000
47;Kuwait;KWT;43.7;2000
48;Belarus;BLR;53.0;2000
49;Oman;OMN;22.8;2000
50;Barbados;BRB;63.6;2000
51;Uruguay;URY;52.0;2000
52;Bulgaria;BGR;44.2;2000
53;Kazakhstan;KAZ;64.7;2000
54;Bahamas, The;BHS;66.1;2000
55;Panama;PAN;45.1;2000
56;Mauritius;MUS;40.7;2000
57;Trinidad and Tobago;TTO;46.5;2000
58;Costa Rica;CRI;36.8;2000
59;Serbia;SRB;45.1;2000
60;Cuba;CUB;36.9;2000
61;Iran, Islamic Rep.;IRN;13.9;2000
62;Georgia;GEO;54.7;2000
63;Turkey;TUR;26.3;2000
64;Venezuela, RB;VEN;49.1;2000
65;Sri Lanka;LKA;37.3;2000
66;Albania;ALB;51.5;2000
67;Lebanon;LBN;20.3;2000
68;Mexico;MEX;38.9;2000
69;Azerbaijan;AZE;57.5;2000
70;Brazil;BRA;55.1;2000
71;Bosnia and Herzegovina;BIH;32.2;2000
72;Armenia;ARM;49.1;2000
73;Ukraine;UKR;52.2;2000
74;Jordan;JOR;12.6;2000
75;Peru;PER;57.7;2000
76;Thailand;THA;65.3;2000
77;Ecuador;ECU;51.3;2000
78;China;CHN;71.2;2000
79;Fiji;FJI;38.5;2000
80;Mongolia;MNG;55.9;2000
81;Jamaica;JAM;58.9;2000
82;Colombia;COL;48.6;2000
83;Suriname;SUR;36.4;2000
84;Tunisia;TUN;23.5;2000
85;Dominican Republic;DOM;46.1;2000
86;Tonga;TON;49.2;2000
87;Libya;LBY;25.3;2000
88;Belize;BLZ;40.3;2000
89;Samoa;WSM;32.7;2000
90;Maldives;MDV;37.5;2000
91;Uzbekistan;UZB;47.0;2000
92;Moldova;MDA;56.2;2000
93;Botswana;BWA;69.7;2000
94;Gabon;GAB;54.5;2000
95;Paraguay;PRY;49.7;2000
96;Egypt, Arab Rep.;EGY;19.6;2000
97;Turkmenistan;TKM;47.8;2000
98;Indonesia;IDN;50.3;2000
99;Vietnam;VNM;72.9;2000
100;Philippines;PHL;48.7;2000
101;El Salvador;SLV;45.4;2000
102;Bolivia;BOL;59.1;2000
103;South Africa;ZAF;49.5;2000
104;Kyrgyz Republic;KGZ;56.2;2000
105;Iraq;IRQ;12.7;2000
106;Morocco;MAR;28.8;2000
107;Nicaragua;NIC;38.3;2000
108;Guatemala;GTM;38.7;2000
109;Namibia;NAM;48.9;2000
110;Tajikistan;TJK;58.2;2000
111;Honduras;HND;44.4;2000
